Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
32191710,Astrophysics for People in a Hurry,Neil deGrasse Tyson,"Tyson, Neil deGrasse",,"=""0393609391""","=""9780393609394""",4,4.08,W. W. Norton & Company,Hardcover,223,2017,2017,2019/05/19,2019/05/10,,,read,"Virkelig kondenseret overblik. Som i virkelig. Men godt skrevet/formidlet, og jeg får lyst til at være klogere på emnet, hvilket må være det ultimative succeskriterium :)",,,1,0
27968891,Site Reliability Engineering: How Google Runs Production Systems,Betsy Beyer,"Beyer, Betsy","Chris     Jones, Jennifer Petoff, Niall Richard Murphy","=""149192912X""","=""9781491929124""",0,4.23,O'Reilly Media,Paperback,550,2016,2016,,2019/05/10,to-read,to-read (#97),to-read,,,,0,0
39687146,The Site Reliability Workbook: Practical Ways to Implement SRE,Betsy Beyer,"Beyer, Betsy","Niall Richard Murphy, David K. Rensin, Kent Kawahara, Stephen  Thorne","=""1492029505""","=""9781492029502""",0,4.36,O'Reilly Media,Paperback,500,2018,,,2019/05/10,to-read,to-read (#96),to-read,,,,0,0
26082188,"The Dispatcher (The Dispatcher, #1)",John Scalzi,"Scalzi, John",Zachary Quinto,"=""""","=""""",5,3.98,Audible Studios,Audible Audio,2,2016,2016,,2019/05/09,,,read,SciFi crime noir novelle med god balance :),,,1,0
40275161,"The Fearless Organization: Creating Psychological Safety in the Workplace for Learning, Innovation, and Growth",Amy C. Edmondson,"Edmondson, Amy C.",,"=""1119477247""","=""9781119477242""",5,3.99,John Wiley & Sons Inc,Hardcover,233,2018,2018,2019/05/09,2019/04/27,,,read,"Came to this one from DevOps, Lean and safety culture and enjoyed it, while picking up some good references and background",,,1,0
188172,I Am Legend,Steve Niles,"Niles, Steve","Elman Brown, Richard Matheson","=""1932382089""","=""9781932382082""",5,4.17,IDW Publishing,Hardcover,248,,1991,2008/03/30,2008/03/29,,,read,,,,1,0
38746485,Becoming,Michelle Obama,"Obama, Michelle",,"=""""","=""""",4,4.46,Crown,Hardcover,426,2018,2018,2019/04/28,2019/03/29,,,read,"Det var en overraskende god bog. Efter sigende ingen ghostwriter. Lydbog er indlæst af hende selv og det giver nærhed og følelser til en bog der i forvejen føles meget autentisk.<br/>Men den er også lige lovligt poleret og en kende ""inspirational"".",,,1,0
18043011,Clean Architecture,Robert C. Martin,"Martin, Robert C.",,"=""0134494164""","=""9780134494166""",0,4.23,Prentice Hall,Paperback,432,2017,2017,,2019/04/13,to-read,to-read (#95),to-read,,,,0,0
29751398,The Power,Naomi Alderman,"Alderman, Naomi",,"=""0670919985""","=""9780670919987""",0,3.76,Viking,Hardcover,341,2017,2016,,2019/04/12,to-read,to-read (#94),to-read,,,,0,0
36204378,The Book of Why: The New Science of Cause and Effect,Judea Pearl,"Pearl, Judea",Dana Mackenzie,"=""046509760X""","=""9780465097609""",0,3.93,Basic Books,Hardcover,432,2018,2018,,2019/03/30,to-read,to-read (#93),to-read,,,,0,0
12543,Bird by Bird,Anne Lamott,"Lamott, Anne",,"=""""","=""""",0,4.24,Anchor,Paperback,238,1995,1994,,2014/07/27,trashed,trashed (#17),trashed,,,,0,0
9584166,C# 3.0 Design Patterns: Use the Power of C# 3.0 to Solve Real-World Problems,Judith Bishop,"Bishop, Judith",,"=""0596551444""","=""9780596551445""",0,3.58,O'Reilly Media,Kindle Edition,318,2007,2007,,2011/08/16,trashed,trashed (#16),trashed,,,,0,0
11028017,Mindfulness in Plain English,Henepola Gunaratana,"Gunaratana, Henepola",,"=""""","=""""",0,4.15,Wisdom Publications,Kindle Edition,224,2011,1992,,2018/12/17,trashed,trashed (#15),trashed,,,,0,0
77505,"Green Mars (Mars Trilogy, #2)",Kim Stanley Robinson,"Robinson, Kim Stanley",,"=""0553572393""","=""9780553572391""",0,3.95,Spectra Books,Mass Market Paperback,624,1993,1993,,2015/01/17,trashed,trashed (#14),trashed,,,,0,0
23263519,"#Workout: Games, Tools & Practices to Engage People, Improve Work, and Delight Clients (Management 3.0 Book 3)",Jurgen Appelo,"Appelo, Jurgen",,"=""9492032015""","=""""",0,4.29,Happy Melly Express,Kindle Edition,505,2014,2014,,2015/01/19,trashed,trashed (#13),trashed,,,,0,0
6402364,"SuperFreakonomics: Global Cooling, Patriotic Prostitutes And Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,"=""0060889578""","=""9780060889579""",0,4.00,William Morrow,Hardcover,270,2009,2009,,2011/06/19,trashed,trashed (#12),trashed,,,,0,0
15700082,"Adoptionshåndbogen - Det adopterede barn i familien, i dagtilbud og skole",Iben Krarup Høgsberg,"Høgsberg, Iben Krarup",Anette Buch-Illing,"=""""","=""9788741255170""",0,4.50,Hans Reitzels Forlag,Paperback,320,2012,2012,2019/03/20,2012/06/10,,,read,,,,1,0
19193321,An Introduction to Enterprise Architecture,Scott A. Bernard,"Bernard, Scott A.",,"=""""","=""""",0,3.51,AuthorHouse,Kindle Edition,439,2012,2005,,2017/01/18,trashed,trashed (#11),trashed,,,,0,0
36292728,Design Your Work: Praxis Volume 1,Tiago Forte,"Forte, Tiago",,"=""""","=""""",0,4.09,,Kindle Edition,303,2017,,,2018/01/26,trashed,trashed (#10),trashed,,,,0,0
35099718,So You Want to Talk About Race,Ijeoma Oluo,"Oluo, Ijeoma",,"=""1580056776""","=""9781580056779""",5,4.50,Seal Press,Hardcover,248,2018,2018,2019/03/20,2019/03/08,,,read,"Åh den er god. Og hård. God indføring i racisme (med et særligt amerikansk fokus) og begreber som intersektionalitet, mikroaggrression, og ikke mindst og helt centralt: hvordan taler vi om dette emne.",,,1,0
18077875,Essentialism: The Disciplined Pursuit of Less,Greg McKeown,"McKeown, Greg",,"=""0804137382""","=""9780804137386""",0,4.06,Crown Currency,Hardcover,260,2014,2011,,2019/03/15,to-read,to-read (#92),to-read,,,,0,0
6736366,"Toyota Kata: Managing People for Improvement, Adaptiveness and Superior Results",Mike Rother,"Rother, Mike",,"=""0071635238""","=""9780071635233""",4,4.19,McGraw Hill,Hardcover,306,2009,2009,2019/03/08,2019/02/17,,,read,,,,1,0
6743843,Leading Lean Software Development: Results Are Not the Point,Mary Poppendieck,"Poppendieck, Mary",Tom Poppendieck,"=""0321620704""","=""9780321620705""",0,4.22,Addison-Wesley Professional,Paperback,278,2009,2009,,2019/02/28,to-read,to-read (#91),to-read,,,,0,0
194338,Lean Software Development: An Agile Toolkit,Mary Poppendieck,"Poppendieck, Mary","Tom Poppendieck, Ken Schwaber, Jim Highsmith","=""0321150783""","=""9780321150783""",0,4.18,Addison-Wesley Professional,Paperback,240,2003,2003,,2019/02/28,to-read,to-read (#90),to-read,,,,0,0
8686650,Continuous delivery,Jez Humble,"Humble, Jez",David  Farley,"=""0321601912""","=""9780321601919""",0,4.19,Addison-Wesley,Hardcover,463,2011,2010,,2019/02/27,to-read,to-read (#89),to-read,,,,0,0
